Gmina/Miasto Typ JApdst_Liczba_Zdaj¹cych JApdst_ŒredniWynikW% JApdst_OdchST JArozsz_Liczba_Zdaj¹cych JArozsz_ŒredniWynikW% JArozsz_OdchST
Borzytuchom Gm 6 77 24 6 64 22
Bytów M-Gm 220 63 26 214 39 28
Czarna_D¹brówka Gm 44 48 23 44 28 21
Ko³czyg³owy Gm 48 56 24 48 33 27
Lipnica Gm 25 57 26 21 39 27
Miastko M-Gm 122 60 27 48 51 30
Parchowo Gm 29 55 28 29 40 29
Studzienice Gm 30 55 22 30 37 20
Trzebielino Gm 11 62 26 2 – –
Tuchomie Gm 36 54 22 36 30 25
Brusy M-Gm 144 58 25 144 37 28
Chojnice Gm 120 52 24 77 27 22
Chojnice M 370 67 26 365 47 30
Czersk M-Gm 185 55 24 185 33 25
Konarzyny Gm 20 42 19 20 22 16
Czarne M-Gm 66 61 26 41 56 28
Cz³uchów Gm 63 57 25 59 39 28
Cz³uchów M 178 68 27 178 50 32
Debrzno M-Gm 77 46 22 73 27 22
Kocza³a Gm 23 61 26 23 40 26
Przechlewo Gm 43 57 24 43 37 28
Rzeczenica Gm 26 56 21 26 34 25
Cedry_Wielkie Gm 56 55 27 56 36 31
Kolbudy Gm 155 74 27 165 56 32
Pruszcz_Gdañski Gm 177 69 28 177 50 32
Pruszcz_Gdañski M 292 75 26 292 57 32
Przywidz Gm 65 56 27 65 36 29
Pszczó³ki Gm 89 48 24 89 27 25
Suchy_D¹b Gm 39 49 23 39 28 22
Tr¹bki_Wielkie Gm 59 57 29 50 40 32
Chmielno Gm 71 55 23 71 31 25
Kartuzy M-Gm 353 62 27 353 43 30
Przodkowo Gm 103 52 23 103 32 23
Sierakowice Gm 238 52 23 222 30 22
Somonino Gm 109 58 24 109 36 24
Stê¿yca Gm 83 59 24 77 40 26
Sulêczyno Gm 53 56 27 53 39 29
¯ukowo M-Gm 321 60 27 321 40 30
Dziemiany Gm 51 71 23 51 49 28
Karsin Gm 39 67 22 39 47 23
Koœcierzyna Gm 126 50 25 125 31 25
Koœcierzyna M 267 70 26 267 49 30
