Gmina/Miasto Typ JP_Liczba_Zdaj¹cych JP_ŒredniWynikW% JP_OdchST WOS_Liczba_Zdaj¹cych WOS_ŒredniWynikW% WOS_OdchST
Borzytuchom Gm 16 72 13 16 64 16
Bytów M-Gm 292 66 20 292 55 20
Czarna_D¹brówka Gm 59 58 20 59 51 17
Ko³czyg³owy Gm 50 65 18 50 47 18
Lipnica Gm 54 70 19 54 60 19
Miastko M-Gm 169 66 21 169 55 21
Parchowo Gm 46 69 17 46 60 19
Studzienice Gm 42 65 21 42 55 17
Trzebielino Gm 31 66 18 31 53 19
Tuchomie Gm 53 62 17 53 52 19 
Brusy M-Gm 157 70 20 157 55 20
Chojnice Gm 162 66 17 162 54 19
Chojnice M 433 69 20 433 57 19
Czersk M-Gm 223 67 20 223 53 19
Konarzyny Gm 29 55 18 29 44 16
Czarne M-Gm 69 66 20 69 50 19
Cz³uchów Gm 102 59 22 102 49 18
Cz³uchów M 184 69 23 184 55 22
Debrzno M-Gm 83 51 23 83 44 20
Kocza³a Gm 35 70 17 35 52 20
Przechlewo Gm 46 68 18 46 48 18
Rzeczenica Gm 35 64 19 35 54 19
Cedry_Wielkie Gm 56 72 18 56 54 19
Kolbudy_Gm 171 71 17 171 59 22
Pruszcz_Gdañski Gm 201 69 21 201 56 21
Pruszcz_Gdañski M 311 73 20 311 60 21
Przywidz Gm 65 65 23 65 51 19
Pszczó³ki Gm 90 61 19 90 53 19
Suchy_D¹b Gm 39 58 20 39 46 16
Tr¹bki_Wielkie Gm 97 59 21 97 49 18
Chmielno Gm 74 66 18 74 56 20
Kartuzy M-Gm 363 69 19 363 55 19
Przodkowo Gm 103 67 18 103 58 19
Sierakowice Gm 272 66 19 273 57 19
Somonino Gm 110 63 20 110 52 20
Stê¿yca Gm 139 68 18 139 57 18
Sulêczyno Gm 53 68 18 53 62 19
¯ukowo M-Gm 340 67 19 340 54 19
Dziemiany Gm 51 72 15 51 59 20
Karsin Gm 69 70 17 69 61 17
Koœcierzyna Gm 143 65 18 143 53 20
Koœcierzyna M 283 71 17 283 63 20
Liniewo Gm 37 65 20 37 55 19
Lipusz Gm 44 74 16 44 63 20
Nowa_Karczma Gm 105 64 20 105 54 19
Stara_Kiszewa Gm 74 63 21 74 56 21 
Gardeja Gm 81 64 15 81 50 17
Kwidzyn Gm 77 64 19 77 52 18
Kwidzyn M 386 66 21 386 59 22
Prabuty M-Gm 117 68 17 117 52 15
Ryjewo Gm 53 71 19 53 54 20
Sadlinki Gm 56 65 17 56 60 19
Cewice Gm 82 63 18 82 50 18
Lêbork M 412 65 22 412 58 22
£eba M 19 65 19 19 55 16
Nowa_Wieœ_Lêborska Gm 102 65 16 102 52 20
Wicko Gm 57 66 16 57 58 19
Gdañsk M 3552 74 19 3552 64 21
Gdynia M 1905 74 19 1905 64 21
S³upsk M 806 69 22 806 59 21
Sopot M 224 76 17 224 68 19
Lichnowy Gm 34 65 21 34 48 16
Malbork Gm 19 65 19 19 47 17
Malbork M 421 70 19 421 58 21
Mi³oradz Gm 33 70 18 33 60 20
Nowy_Staw M-Gm 61 60 20 61 47 16
Stare_Pole Gm 37 65 19 37 53 20
Krynica_Morska M 10 74 14 10 68 18
Nowy_Dwór_Gdañski M-Gm 171 63 18 171 51 17
Ostaszewo Gm 27 63 23 27 62 26
Stegna Gm 92 66 16 92 57 17
Sztutowo Gm 26 76 14 26 67 19
Hel M 31 61 21 31 53 24
Jastarnia M 28 76 15 28 62 17
Kosakowo Gm 84 67 17 84 57 17
Krokowa Gm 113 62 18 113 53 17
Puck Gm 265 60 19 265 49 19
Puck M 160 72 20 160 63 20
W³adys³awowo M 121 62 23 119 50 18
Damnica Gm 51 71 18 51 59 19
Dêbnica_Kaszubska Gm 81 68 16 81 53 18
G³ówczyce Gm 118 66 19 118 51 19
Kêpice M-Gm 71 66 17 71 53 22
Kobylnica Gm 86 62 22 86 49 19
Potêgowo Gm 71 66 20 71 56 18
S³upsk Gm 124 69 17 124 58 18
Smo³dzino Gm 24 61 18 24 54 17
Ustka Gm 23 66 21 23 52 17
Ustka M 180 60 21 180 49 19 
Bobowo Gm 29 61 20 29 57 17
Czarna_Woda M 25 58 21 25 52 21
Kaliska Gm 58 63 23 58 57 20
Lubichowo Gm 56 67 19 56 61 21
Osieczna Gm 32 61 22 32 58 23
Osiek Gm 22 64 18 22 50 18
Skarszewy M-Gm 139 63 23 139 53 21
Skórcz Gm 50 66 15 50 51 17
Skórcz M 39 74 15 39 69 17
Smêtowo_Graniczne Gm 56 62 19 56 52 18
Starogard_Gdañski Gm 156 57 23 156 48 20
Starogard_Gdañski M 473 67 20 473 57 20
Zblewo Gm 139 68 17 139 54 18
Dzierzgoñ M-Gm 95 63 19 95 53 20
Miko³ajki_Pomorskie Gm 44 64 19 44 55 20
Stary_Dzierzgoñ Gm 29 61 17 29 49 20
Stary_Targ Gm 42 54 21 42 49 19
Sztum M-Gm 135 64 21 135 58 22
Gniew M-Gm 138 59 20 138 49 19
Morzeszczyn Gm 47 56 21 47 46 18
Pelplin M-Gm 178 61 19 178 49 18
Subkowy Gm 64 66 21 64 54 22
Tczew Gm 102 66 19 102 54 18
Tczew M 659 65 23 659 54 20
Choczewo Gm 61 68 17 61 55 19
Gniewino Gm 67 62 17 67 57 22
Linia Gm 80 63 20 80 53 20
Luzino Gm 233 58 20 233 50 18
£êczyce Gm 128 64 18 128 51 19
Reda M 235 67 20 234 58 19
Rumia M 481 71 19 480 60 21
Szemud Gm 195 68 19 195 58 21
Wejherowo Gm 290 64 21 290 52 20
Wejherowo M 504 67 19 504 56 20 
