Gmina/Miasto Typ MAT_Liczba_Zdaj¹cych MAT_ŒredniWynikW% MAT_OdchST PRZ_Liczba_Zdaj¹cych PRZ_ŒredniWynikW% PRZ_OdchST
Borzytuchom Gm 16 46 21 16 58 18
Bytów M-Gm 292 43 23 292 49 18
Czarna_D¹brówka Gm 59 41 21 59 44 14
Ko³czyg³owy Gm 50 36 21 50 47 17
Lipnica Gm 54 47 25 54 54 15
Miastko M-Gm 169 42 24 169 48 18
Parchowo Gm 46 49 22 46 53 15
Studzienice Gm 42 47 24 42 47 13
Trzebielino Gm 31 48 27 31 54 15
Tuchomie Gm 53 47 22 53 49 16
Brusy M-Gm 157 50 27 157 52 17
Chojnice Gm 162 46 24 162 46 16
Chojnice M 433 42 23 433 51 18
Czersk M-Gm 223 43 24 223 48 18
Konarzyny Gm 29 35 18 29 44 17
Czarne M-Gm 69 38 21 69 43 17
Cz³uchów Gm 102 38 22 102 45 15
Cz³uchów M 184 42 24 184 49 18
Debrzno M-Gm 83 31 19 83 39 15
Kocza³a Gm 35 41 23 35 50 17
Przechlewo Gm 46 44 25 46 47 17
Rzeczenica Gm 35 40 24 35 51 15
Cedry_Wielkie Gm 56 43 22 56 47 15
Kolbudy Gm 171 48 26 171 55 19
Pruszcz_Gdañski Gm 201 45 25 201 51 19
Pruszcz_Gdañski M 311 53 25 311 56 19
Przywidz Gm 65 38 23 65 46 19
Pszczó³ki Gm 90 35 18 90 44 17
Suchy_D¹b Gm 39 31 19 39 41 16
Tr¹bki_Wielkie Gm 97 39 21 97 46 17
Chmielno Gm 74 41 22 74 48 15
Kartuzy M-Gm 363 48 24 363 51 17
Przodkowo Gm 103 46 22 103 49 16
Sierakowice Gm 273 46 24 273 48 17
Somonino Gm 110 44 21 110 49 17
Stê¿yca Gm 139 51 25 139 51 16
Sulêczyno Gm 53 42 23 50 53 14
¯ukowo M-Gm 340 46 24 340 49 17
Dziemiany Gm 51 48 23 51 49 19
Karsin Gm 69 51 25 69 52 18
Koœcierzyna Gm 143 43 20 143 49 17
Koœcierzyna M 283 53 25 283 57 18
Liniewo Gm 37 46 25 37 52 20
Lipusz Gm 44 47 21 44 52 19
Nowa_Karczma Gm 105 46 21 105 47 15
Stara_Kiszewa Gm 74 50 21 74 54 20
Gardeja Gm 81 39 20 81 45 16
Kwidzyn Gm 77 40 19 77 50 18
Kwidzyn M 387 54 28 386 54 21
Prabuty M-Gm 117 47 22 117 49 15
Ryjewo Gm 53 43 25 53 47 18
