Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 540 585 520 571 
chojnicki 789 855 835 839
cz³uchowski 455 470 418 476
gdañski 885 917 977 932
kartuski 1354 1393 1416 1331 
koœcierski 630 688 702 738
kwidzyñski 756 746 733 702
lêborski 603 569 552 599 
Gdañsk 3298 3255 3146 3368 
Gdynia 1974 1894 1917 1810 
S³upsk 743 751 706 732 
Sopot 198 203 187 210 
malborski 625 684 637 582 
nowodworski 295 296 233 262 
pucki 740 682 720 721 
s³upski 719 713 743 710 
starogardzki 1245 1045 1095 1101 
sztumski 353 308 322 303 
tczewski 882 915 891 1022 
wejherowski 2061 2022 1963 2082 
