Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 25 24 25 26 
chojnicki 24 23 25 26 
cz³uchowski 26 24 26 26 
gdañski 26 25 26 28 
kartuski 24 23 25 26 
koœcierski 24 23 25 27
kwidzyñski 25 24 25 27
lêborski 26 24 26 28
Gdañsk 25 24 25 25 
Gdynia 23 23 25 25 
S³upsk 27 26 27 28 
Sopot 23 22 25 25 
malborski 25 24 26 26 
nowodworski 24 24 26 26 
pucki 25 24 25 27 
s³upski 25 24 25 26 
starogardzki 25 24 25 26 
sztumski 24 24 23 27 
tczewski 27 25 26 28
wejherowski 25 25 26 28 
