Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 59 59 56 59 
chojnicki 60 60 57 60 
cz³uchowski 58 57 55 60 
gdañski 66 67 64 66 
kartuski 62 59 57 58 
koœcierski 59 62 57 62
kwidzyñski 64 61 62 64
lêborski 66 62 57 61 
Gdañsk 75 76 73 78 
Gdynia 78 78 75 79 
S³upsk 67 67 69 70
Sopot 81 80 75 82 
malborski 61 63 60 62
nowodworski 61 64 64 60 
pucki 59 61 60 63
s³upski 59 61 55 57
starogardzki 59 60 56 59 
sztumski 57 56 51 57 
tczewski 60 61 56 59 
wejherowski 63 64 62 63 
