Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 24 21 23 23
chojnicki 24 21 23 24
cz³uchowski 23 20 23 23
gdañski 24 22 23 25
kartuski 23 21 23 24
koœcierski 23 21 22 23
kwidzyñski 27 23 24 26
lêborski 24 22 23 25
Gdañsk 26 24 26 27
Gdynia 26 25 27 27
S³upsk 26 22 25 25 
Sopot 24 24 26 26
malborski 23 21 22 23
nowodworski 24 22 23 21
pucki 22 21 23 23
s³upski 23 20 21 22
starogardzki 24 22 22 23
sztumski 24 20 23 23
tczewski 25 22 24 25
wejherowski 24 23 24 25
