Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 908 900 828 812
chojnicki 1089 1033 1025 1004
cz³uchowski 623 589 586 554
gdañski 1005 1024 1088 1030
kartuski 1504 1503 1507 1452
koœcierski 831 804 761 806
kwidzyñski 848 853 805 770
lêborski 750 713 687 672
Gdañsk 3524 3492 3332 3552
Gdynia 2082 1998 2043 1893
S³upsk 835 834 774 806
Sopot 208 206 190 224
malborski 662 721 663 605
nowodworski 362 369 304 326
pucki 815 800 818 801
s³upski 899 868 886 829
starogardzki 1447 1254 1283 1274
sztumski 441 379 368 346
tczewski 1165 1158 1085 1185
wejherowski 2310 2197 2200 2273
