Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 16 17 16 17
chojnicki 17 17 17 18
cz³uchowski 17 16 17 17
gdañski 17 18 18 19
kartuski 17 17 17 17
koœcierski 18 18 17 18
kwidzyñski 17 17 18 19
lêborski 19 17 17 18
Gdañsk 18 19 19 20
Gdynia 18 20 20 19
S³upsk 18 18 19 18 
Sopot 18 18 19 19
malborski 18 18 18 17 
nowodworski 17 18 17 17
pucki 16 16 16 17
s³upski 15 17 16 17
starogardzki 16 17 17 17 
sztumski 17 16 16 17
tczewski 17 17 17 18
wejherowski 17 17 17 18
