Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 48 47 48 49
chojnicki 51 49 49 49
cz³uchowski 47 44 44 46
gdañski 50 49 49 51
kartuski 50 48 49 49
koœcierski 50 50 50 53
kwidzyñski 53 49 53 51
lêborski 50 47 46 49
Gdañsk 54 53 55 56
Gdynia 56 56 57 58
S³upsk 50 50 50 51
Sopot 56 54 55 58
malborski 50 47 48 49
nowodworski 48 47 49 48
pucki 47 45 47 47
s³upski 48 46 46 47
starogardzki 49 47 47 47 
sztumski 48 46 46 47
tczewski 48 46 46 47
wejherowski 50 49 49 50
